Embedding,Algorithm,Accuracy,Precision,F1_score,Recall,Mean_score,Rank
Google_News,RandomForest,0.9163064833005894,0.7762128454523051,0.7988434787734483,0.8459155729288468,0.8343195951137974,30.0
Glove_6B_300d,RandomForest,0.9178781925343812,0.7777348968808796,0.7961953155914926,0.8385506554282833,0.8325897651087592,31.0
LexVec_CC_300d,MLPClassifier,0.9170923379174852,0.796390921389779,0.8000434430620853,0.8153923921829791,0.8322297736380821,32.0
Glove_6B_300d,ExtraTrees,0.9163064833005894,0.7749198937329606,0.7946462694752325,0.8353834305490091,0.8303140192644479,33.0
Glove_840B_300d,ExtraTrees,0.9088408644400786,0.7627644279417545,0.7930749626106054,0.8556822583914075,0.8300906283459615,34.0
LexVec_WN_300d,ExtraTrees,0.9131630648330059,0.76630911593519,0.7912457016803395,0.8488431078612452,0.8298902475774452,35.0
ConceptNet_Numberbatch,RandomForest,0.9143418467583497,0.7707998468594013,0.791125384115483,0.839220573951778,0.828871912921253,36.0
PDC,ExtraTrees,0.9092337917485265,0.7589957619598413,0.7872692201488348,0.8480355117107232,0.8258835713919814,37.0
ConceptNet_Numberbatch,ExtraTrees,0.9127701375245579,0.7598149644549616,0.7851817072665015,0.8435279054150355,0.825323678665264,38.0
PDC,RandomForest,0.9115913555992141,0.7658047758297691,0.7872964753887961,0.8339750514691889,0.8246669145717421,39.0
HDC,RandomForest,0.9111984282907662,0.7602815411561317,0.7846823217672996,0.8410276137406917,0.8242974762387223,40.0
Glove_840B_300d,RandomForest,0.9100196463654224,0.7596999708360312,0.7866985382909593,0.8403305385290485,0.8241871735053654,41.0
LexVec_CC_300d,RandomForest,0.9104125736738703,0.7644546292928456,0.7863018526833737,0.828714137772335,0.8224707983556061,42.0
ConceptNet_Numberbatch,MLPClassifier,0.9080550098231827,0.7879580711234575,0.7904199298696546,0.8011779586137535,0.821902742357512,43.0
FastText_SkipGram,ExtraTrees,0.906483300589391,0.7557973362709064,0.7817115910912459,0.8396702458430569,0.82091561844865,44.0
LexVec_CC_300d,KNeighbors,0.9108055009823183,0.7748447330111806,0.7828060856699801,0.8110110592179448,0.819866844720356,45.0
Glove_840B_300d,KNeighbors,0.9072691552062868,0.7676028346331994,0.7820284541342684,0.8194368660090112,0.8190843274956915,46.0
Glove_6B_300d,KNeighbors,0.9151277013752456,0.7700381276774019,0.7798404718334292,0.8073312801753525,0.8180843952653574,47.0
HDC,KNeighbors,0.9088408644400786,0.7742579005442413,0.7806905398457112,0.8080953504200677,0.8179711638125248,48.0
HDC,ExtraTrees,0.9088408644400786,0.7501473741366896,0.7748144867627796,0.8337481147652911,0.8168877100262097,49.0
