Embedding,Algorithm,Accuracy,Precision,F1_score,Recall,Mean_score,Rank
Glove_6B_300d,ExtraTrees,0.9053045186640472,0.7418560587740252,0.7677462381457699,0.8337391076367202,0.8121614808051407,29.0
HDC,RandomForest,0.8994106090373281,0.7437883922024627,0.7728955796350103,0.829434076674429,0.8113821643873075,30.0
Glove_840B_300d,RandomForest,0.9009823182711199,0.7394593603762485,0.768011859766818,0.8338758199170544,0.8105823395828102,31.0
ConceptNet_Numberbatch,RandomForest,0.9029469548133595,0.7398487204260186,0.7647240824971939,0.8337760694827818,0.8103239568048384,32.0
FastText_SkipGram,SVC,0.9088408644400786,0.7466478672514119,0.7635795965293878,0.8207156847291945,0.8099460032375182,33.0
Google_News,RandomForest,0.9005893909626719,0.7402199101284925,0.7700301263172639,0.8247941107540084,0.8089083845406092,34.0
Google_News,KNeighbors,0.9049115913555992,0.7572696187369742,0.7709902821614584,0.8010550703404444,0.8085566406486191,35.0
HDC,SVC,0.9092337917485265,0.7449820346068439,0.7635064231072997,0.8142507401334664,0.8079932473990341,36.0
ConceptNet_Numberbatch,ExtraTrees,0.900196463654224,0.729556360997208,0.7638728521519293,0.8373058282254033,0.8077328762571911,37.0
Google_News,ExtraTrees,0.8966601178781926,0.7270963187498747,0.7617064671226463,0.827652482970958,0.8032788466804179,38.0
LexVec_CC_300d,ExtraTrees,0.8990176817288802,0.7256835282588938,0.7568287453709064,0.821740074690985,0.8008175075124164,39.0
ConceptNet_Numberbatch,KNeighbors,0.8990176817288802,0.752964131013342,0.7640564099954713,0.7868057743209574,0.8007109992646627,40.0
PDC,RandomForest,0.8950884086444008,0.7287941356774537,0.7567917552643153,0.8164698478392889,0.7992860368563646,41.0
PDC,KNeighbors,0.8935166994106091,0.7504385353341668,0.7624569793491208,0.7833058037548007,0.7974295044621744,42.0
LexVec_WN_300d,ExtraTrees,0.899803536345776,0.7279853546681004,0.7534912522051357,0.8055984051332488,0.7967196370880651,43.0
Glove_6B_300d,KNeighbors,0.8994106090373281,0.7513344095076635,0.7599485478907774,0.7741768839241667,0.7962176125899838,44.0
Glove_840B_300d,SVC,0.9041257367387033,0.7282674887879679,0.7457719102071462,0.8008999910173998,0.7947662816878043,45.0
FastText_CBOW,RandomForest,0.8927308447937131,0.7128525322902373,0.7465630794246291,0.8244682086561285,0.794153666291177,46.0
Glove_840B_300d,ExtraTrees,0.8907662082514735,0.7125427867190417,0.7478715943948377,0.8175224551599188,0.7921757611313179,47.0
FastText_SkipGram,KNeighbors,0.8915520628683693,0.7437315135491563,0.754816732397012,0.7732703086955839,0.7908426543775303,48.0
FastText_SkipGram,RandomForest,0.8903732809430256,0.7146628208587116,0.74813911863607,0.8096788778079574,0.7907135245614411,49.0
